::::::::: 1 :::::::::											
Position (X)	 Position (Y)	 Position (Z)	 Rotation (X)	 Rotation (Y)	 Rotation (Z)	 Ang Veloc (X)	 Ang Veloc (Y)	 Ang Veloc (Z)	 Velocity (X)	 Velocity (Y)	 Velocity (Z)
-0.2467144	0.04456592	-0.02904391	285.5051	308.9673	321.5002	1.383385	-0.476794	2.607444	-0.2865327	-0.4278904	0.02990486
-0.2448339	0.04242182	-0.02919149	286.419	310.0459	319.6562	1.272593	-0.6091747	2.008508	-0.1686156	-0.3595572	0.01724327
-0.2457419	0.03810775	-0.02851295	286.0283	304.8617	325.723	0.3447213	-0.1569351	1.776484	-0.1446926	-0.358838	0.03197426
-0.247737	0.03336442	-0.02728713	287.668	301.2673	329.9388	0.1866004	0.07200766	2.088691	-0.1424014	-0.3624166	0.06218401
-0.2492492	0.03173041	-0.02516818	289.2776	305.8637	325.2834	0.9083207	0.1033383	1.765192	-0.1277052	-0.3113178	0.09278412
-0.2494966	0.02946055	-0.02394474	289.2005	305.3452	326.0674	0.5744101	0.1749701	1.3934	-0.1011849	-0.2718727	0.08406409
-0.2500558	0.02607441	-0.02419424	288.6338	298.7472	333.4258	-0.4469077	0.3070493	1.30517	-0.08259856	-0.2662356	0.06850327
-0.2520689	0.0226692	-0.02385545	289.0843	296.6246	335.969	-0.5564778	0.3462729	1.278937	-0.09941258	-0.2818541	0.05725676
-0.2545839	0.01600027	-0.02375531	290.8851	293.2902	339.4821	-0.5797185	0.2459715	1.824423	-0.1361319	-0.3592905	0.03679917
-0.2569497	0.01003575	-0.02358437	293.2258	290.8953	342.1181	-0.4518372	0.1901811	2.381358	-0.1558865	-0.4091789	0.02672182
-0.2619804	0.005509138	-0.02429104	295.6766	291.5684	341.3238	0.1203557	0.1007136	2.61074	-0.2333638	-0.4024646	0.004653518
-0.26056	0.01583672	-0.02452302	305.7188	295.924	336.5974	2.399659	-0.05604205	5.335341	-0.1264418	-0.08497133	-0.000113556
-0.2559487	0.01290798	-0.02433646	293.7104	286.5204	346.7564	-1.465925	0.08277103	0.123742	0.01931863	-0.1220398	-0.00521613
-0.2575549	0.01584637	-0.02529681	292.5734	300.2799	333.2123	0.4655524	0.5257066	-1.052044	-0.0236583	-0.02538213	-0.022446
-0.257614	0.01288807	-0.02433515	296.3437	288.6295	343.8548	-0.5906032	-0.2750619	0.908667	-0.02208367	-0.07858165	-0.01024341
-0.2591461	0.01194549	-0.02444696	296.7635	292.6364	340.4001	0.125585	0.09134788	0.68687	-0.04615732	-0.0761179	-0.007049898
-0.2596946	0.01078439	-0.02439523	296.569	289.8756	343.1506	-0.3652541	-0.01862999	0.5674917	-0.04545679	-0.08193905	-0.006632918
-0.2604675	0.01118493	-0.02473736	296.9137	289.6841	343.4073	-0.2905951	-0.000393032	0.5701015	-0.04800291	-0.06437054	-0.009886584
-0.2602815	0.01115477	-0.02469945	296.936	288.9088	344.2419	-0.346743	-0.01076841	0.4818793	-0.03467744	-0.05185637	-0.009962412
											
											
::::::::: 3 :::::::::											
Position (X)	 Position (Y)	 Position (Z)	 Rotation (X)	 Rotation (Y)	 Rotation (Z)	 Ang Veloc (X)	 Ang Veloc (Y)	 Ang Veloc (Z)	 Velocity (X)	 Velocity (Y)	 Velocity (Z)
-0.2313141	0.01029062	-0.1283991	298.8452	195.0345	346.3306	-0.02212013	-0.001892941	-0.03274265	-0.003148091	0.004994286	-0.00722598
-0.2312669	0.01025045	-0.1284709	298.8719	194.9858	346.3868	-0.02896819	0.002664533	-0.03153853	-0.002671283	0.004975157	-0.008040873
-0.2311735	0.01015675	-0.1284481	298.8932	194.9307	346.4658	-0.03370783	0.005473654	-0.03421908	-0.002609416	0.00497216	-0.008252608
-0.2311898	0.01024389	-0.1285555	298.923	194.9228	346.4832	-0.03767476	0.00714804	-0.0254564	-0.002406067	0.005720756	-0.008609974
-0.2312362	0.01030385	-0.1284655	298.9305	194.9335	346.4753	-0.03304555	0.0087679	-0.01667978	-0.00294548	0.006845632	-0.006920071
-0.2311856	0.01023245	-0.1282676	298.9072	195.098	346.3235	-0.004100796	0.01680692	0.01637361	-0.003594448	0.009882203	-0.003782956
-0.2312568	0.01047385	-0.1283112	298.825	195.2176	346.2089	0.03462991	0.02057183	0.02513805	-0.004387703	0.01309403	-0.003797213
-0.2313	0.01107299	-0.1281376	298.8887	195.7186	345.707	0.02938001	0.04064208	0.1194012	-0.004309398	0.02414979	0.00148429
-0.2311446	0.01188159	-0.1277559	298.7948	196.7204	344.6957	0.1192046	0.08026455	0.2790212	-0.006372576	0.04807199	0.007523564
-0.2312261	0.01328349	-0.1272323	298.6687	197.7525	343.6264	0.1977551	0.09664565	0.3859073	-0.006623445	0.06821473	0.01792432
-0.2311844	0.01566684	-0.1261758	297.4561	198.9266	342.5464	0.6841316	0.1677226	0.3401247	-0.00655382	0.111084	0.038076
-0.2316743	0.01788175	-0.124953	296.5107	200.4393	341.1487	0.9697025	0.2276351	0.361858	-0.012884	0.1370296	0.05897187
